,user,description,followers,location,text
0,Kalpesh_Yadav_,"😭😭मुस्लिम प्यार का जूठा नाटक कर रहे हैं 😭😭मुस्लिम अपना धर्म छिपा रहे है, अपना झूठा नाम बता रहे हैं,😭😭और दूसरे धर्म की लड़कियों को फसा रहे हैं,😭😭",41,India,@PradipK40388306 @dudesaurabh @narendramodi @BJP4India @JPNadda @AmitShah @myogiadityanath @BJYM Only bjp🚩2004-2014… https://t.co/gkiMYoBMGF
1,Yash_Vala_BJP,Election Co-Convener IT Cell Rajkot District BJP,268,Rajkot India,Hon'ble PM Shri @narendramodi Ji hands over a representational key of 109 life-saving ambulances to Bangladesh PM S… https://t.co/Zq9dosAh7u
2,RahulKu51316643,Student,1,,"@DrRPNishank @narendramodi Sir., Covid 19 cases kafi jyda aane lge hai.! Please sir exam online mode me kr dijiye.!… https://t.co/r9m64cl5s4"
3,asthanacdri,"Ex. Researcher, Love my India, wish a clean and corruption free India; follower of @sachin_rt @srbachchan. @narendramodi @mipaltan",146,"Lucknow, India",@MediaHarshVT @BJP4India @BJP4Punjab @capt_amarinder @narendramodi @AmitShah @JPNadda Shame on congress👎👎👎👎👎👎👎👎👎👎👎👎… https://t.co/LfxFTvBe72
4,U2K2ADSH,,231,,@SupriyaShrinate @narendramodi Pidi SShrinate durbari slaves can't be choosy...first check the fact and then bark..… https://t.co/FhhTNFh9UF
5,muskateer15,"Don't conclude, and don't be 100% certain of anything",1,,@JayathuB @Waniash1 @Swamy39 @DrRonMalka @narendramodi @YashwantSinha @ShatruganSinha @KirtiAzaad I only see that I… https://t.co/aKAX9vS4Bt
6,Champ65764330,,4,,@imsinghabhi95 @Sandipsingh22 @AdityaRajKaul @narendramodi Canada have supplier vaccine with all of them? But have… https://t.co/LLjcYFbaKh
7,bipbhat,"Fan of Test Cricket, student of India Polity  Salesman by profession, engineer by education.RT`s no endorsement .",936,India ,@KrishanuKar14 @poll_diary @BJP4Bengal @INCWestBengal @AITCofficial @DilipGhoshBJP @adhirrcinc @YashwantSinha… https://t.co/ctC80uUYyP
8,Abhiram49780861,,0,,@Fatima492090 @RaymoneJames4 @kammogyan @hassan_j92 @ARanganathan72 @narendramodi Search the Google with word Islam… https://t.co/jsLWt5DsmZ
9,kannan32,Hi Keep Walking,33,Dubai UAE,@ShashiTharoor @narendramodi Blind literate!!
10,shytigress,"Freelance Journalist, Writer, Animal Lover, Fearless Seeker of Truth. Every step I take in Light, is Mine Forever!",3833,🇨🇦🇮🇳🇺🇲🇮🇱,@JyotilaxmiK @nrajabpcla @keeranl @narendra52 @ArunDeshpande20 @bahuvirupak @sreeramjvc @neerangautam… https://t.co/0UcV2WIMXk
11,banyarhein25,,119,,"To @narendramodi 
  I believe that India loves democracy
and India will be our friends in Democracy revolution. But… https://t.co/f4Mh9LUtXv"
12,nksethi551,More than 4 decades of public health experience from grassroots Primary Health Centre to highest Policy-Planning level in India & globally,23,,@narendramodi @PMOIndia @AmitShah @HMOIndia @drharshvardhan @DrHVoffice @NITIAayog Areas where latest avg @Covid  c… https://t.co/iAx1fs75Se
